pid,hid,avg_rec
44201,4421,1.4444444444444444
44701,4472,4.666666666666667
44702,4472,2.5555555555555554
44703,82180,2.4444444444444446
45501,4553,1.6666666666666667
45502,4553,2.4444444444444446
46402,4642,5.666666666666667
46501,4650,6.333333333333333
46503,76104,1.6666666666666667
46504,4650,2.7777777777777777
46601,113468,2.7777777777777777
46604,88013,4.888888888888889
46701,109576,3.375
47301,4731,2.7777777777777777
47302,60089,4.111111111111111
47601,4766,3.6666666666666665
47602,117846,2.0
47603,4766,3.6666666666666665
47604,117846,1.6666666666666667
47605,4766,1.8888888888888888
47801,4782,3.3333333333333335
48101,4812,1.3333333333333333
48105,4812,1.0
48701,4871,2.3333333333333335
48702,4871,2.3333333333333335
48801,4880,2.3333333333333335
48802,4880,5.888888888888889
49101,4910,3.5555555555555554
49102,4910,3.111111111111111
49103,76171,2.0
49401,4944,2.4444444444444446
49402,4944,2.6666666666666665
49403,60429,2.4444444444444446
49701,4979,1.7777777777777777
49703,60941,3.2222222222222223
49901,4995,1.0
49902,4995,1.0
49903,4995,1.0
50301,5037,4.666666666666667
50302,5037,3.4444444444444446
50701,5070,5.111111111111111
50801,5088,5.222222222222222
50802,5088,3.0
50902,100277,3.0
51001,5100,2.0
51202,5126,1.1111111111111112
51501,5150,1.0
51502,5150,1.0
51601,5169,4.333333333333333
51604,5169,2.2222222222222223
51702,66435,2.7777777777777777
51801,5185,1.7777777777777777
51802,5185,1.5555555555555556
51901,5193,2.111111111111111
52102,5215,3.4444444444444446
52103,105635,2.2222222222222223
52401,5240,6.333333333333333
52402,5240,2.3333333333333335
52403,5240,6.222222222222222
52901,5290,3.3333333333333335
52902,5290,2.5555555555555554
53401,5347,2.0
53402,5347,4.0
53403,5347,3.3333333333333335
53404,5347,3.6666666666666665
53901,5398,4.222222222222222
53902,5398,6.0
53903,5398,4.666666666666667
53904,5398,4.666666666666667
55003,75418,2.0
55801,5584,1.0
55901,5592,4.111111111111111
55902,5592,4.111111111111111
55903,80241,2.4444444444444446
56201,5622,1.4444444444444444
56202,5622,1.5555555555555556
56402,5649,4.222222222222222
56403,60437,2.3333333333333335
56404,79839,2.7777777777777777
57001,5703,5.875
57002,5703,3.7777777777777777
57003,70947,2.0
57004,101370,3.3333333333333335
57103,101389,3.4444444444444446
57201,5720,4.0
57202,5720,4.888888888888889
57203,5720,3.888888888888889
57204,75230,4.333333333333333
57205,82236,2.888888888888889
57206,113930,2.5714285714285716
57401,5746,7.0
57403,5746,5.142857142857143
57404,75248,4.111111111111111
57501,5754,2.5555555555555554
57701,5770,1.6666666666666667
57702,5770,1.8888888888888888
57801,5789,5.111111111111111
57802,5789,6.0
57804,85170,5.222222222222222
58602,5860,1.6666666666666667
59601,91812,5.555555555555555
59603,88358,2.2222222222222223
59604,100021,1.8888888888888888
59605,5967,1.3333333333333333
59607,113107,2.6666666666666665
60101,6017,2.111111111111111
60102,6017,2.5555555555555554
60601,6068,1.0
60803,6084,3.3333333333333335
60804,6084,1.7777777777777777
60806,6084,2.6666666666666665
61001,6106,2.6666666666666665
61002,6106,1.6666666666666667
61003,114251,3.3333333333333335
61004,6106,3.6666666666666665
61301,6130,2.4444444444444446
61602,61476,1.3333333333333333
61608,6165,2.3333333333333335
61702,80292,1.6666666666666667
61703,80306,1.6666666666666667
61801,6181,4.111111111111111
61802,6181,3.7777777777777777
61901,6190,5.0
62101,6211,4.0
62103,6211,1.3333333333333333
62401,6246,4.222222222222222
62403,124362,3.0
62404,124370,1.3333333333333333
62405,124389,5.0
62501,6254,4.333333333333333
62502,6254,2.6666666666666665
62504,105023,4.222222222222222
62505,6254,2.6666666666666665
62801,6289,1.4444444444444444
62802,6289,3.7777777777777777
62803,6289,4.666666666666667
63301,6335,1.3333333333333333
63304,6335,3.3333333333333335
63802,6386,1.0
63901,6394,4.333333333333333
63904,65951,1.0
64601,6467,1.0
64602,6467,1.4444444444444444
64603,6467,1.8888888888888888
65001,6505,4.0
65002,6505,2.6666666666666665
65102,6513,2.0
65201,6521,1.0
65202,6521,1.0
65203,86240,2.4444444444444446
65601,6564,1.2222222222222223
65602,80195,2.3333333333333335
65603,121452,2.6666666666666665
65801,6580,2.3333333333333335
65802,6580,6.0
65901,6599,3.111111111111111
65902,6599,4.111111111111111
65904,6599,3.6666666666666665
66401,6645,2.0
66402,6645,2.3333333333333335
66403,98108,5.333333333333333
66404,83011,1.6666666666666667
66501,6653,3.5555555555555554
66502,6653,2.4444444444444446
66503,92037,3.5555555555555554
66504,94595,3.0
66505,105473,3.6666666666666665
66701,6670,5.0
66702,91839,1.6666666666666667
66801,6688,2.7777777777777777
66802,6688,2.0
66803,6688,2.3333333333333335
66804,120839,3.2222222222222223
66901,6696,1.3333333333333333
66902,6696,1.7777777777777777
66903,95427,4.0
67101,6718,2.3333333333333335
67102,6718,1.3333333333333333
67103,89443,4.333333333333333
67104,115193,2.6666666666666665
67601,6769,3.0
67602,6769,4.666666666666667
67701,6777,4.888888888888889
67702,70963,2.3333333333333335
67703,6777,1.8888888888888888
67704,6777,3.0
67901,6793,1.2222222222222223
68202,70181,1.1111111111111112
68203,6823,2.4444444444444446
68204,6823,3.0
68301,6831,3.0
68302,6831,3.6666666666666665
68303,6831,2.0
68401,6840,2.3333333333333335
68501,6858,5.555555555555555
68502,6858,3.111111111111111
68702,6874,2.7777777777777777
69103,88242,1.0
69108,88242,2.0
69201,6920,5.0
69202,6920,1.3333333333333333
69301,80314,3.0
69601,6963,3.3333333333333335
69603,6963,3.6666666666666665
69604,6963,4.0
69701,6971,2.4444444444444446
69702,6971,1.8888888888888888
69703,117455,4.777777777777778
69704,6971,2.0
69801,6980,2.7777777777777777
69802,6980,1.4444444444444444
69804,91456,3.3333333333333335
69901,6998,1.2222222222222223
69902,6998,1.3333333333333333
70301,7030,2.0
70302,7030,1.6666666666666667
70304,91022,4.111111111111111
70501,7056,2.6666666666666665
70503,7056,1.0
70702,7072,1.0
70803,82139,2.6666666666666665
71201,7129,1.2222222222222223
71203,82554,2.0
71303,75477,3.3333333333333335
71701,7170,2.0
71702,7170,3.0
71703,7170,4.333333333333333
71704,7170,4.0
71801,7188,4.333333333333333
71802,7188,4.333333333333333
72001,7200,4.888888888888889
72002,7200,2.7777777777777777
72602,7269,1.5555555555555556
73001,7307,2.3333333333333335
73002,7307,4.0
73004,100820,1.0
73203,7323,3.2222222222222223
73204,79693,2.0
73205,82252,1.3333333333333333
73401,7340,1.3333333333333333
73403,85979,5.111111111111111
73602,7366,2.111111111111111
73603,70211,3.4444444444444446
73604,79111,3.2222222222222223
73605,7366,2.4444444444444446
73701,124192,2.7777777777777777
73802,7382,3.111111111111111
73902,7390,5.333333333333333
74001,7404,3.0
74002,7404,2.0
74202,7420,1.1111111111111112
74303,100307,1.3333333333333333
74304,91979,3.5555555555555554
74601,7463,3.3333333333333335
74801,7480,3.6666666666666665
75103,105287,6.555555555555555
75203,82260,3.4444444444444446
75401,7544,2.4444444444444446
75402,7544,1.4444444444444444
